Timestamp,1. What is your age group?  ,2. What is your country or nationality?,Column 4,3. What type of tourism are you most interested in?,4. What is the average duration of your trips? ,6. Who do you usually travel with? ,4. How often do you use smartphones for travel planning or bookings? ,5. Did you plan to visit authentic cultural or nature-based (eco-tourism) locations before your trip? ,6. What were your expectations before visiting Sri Lanka? ,7. What type of information was hard to find? ,"Q8. How would you rate your overall travel experience in Sri Lanka?
(If you haven't visited Sri Lanka yet, please rate your expectations or impressions based on what you have heard, read, or seen.)",9. What were the biggest challenges you faced during your trip? ,"10. Were eco (nature-based, environmentally-friendly places like wildlife parks, nature trails) or cultural destinations easy to access? ",14. How helpful were travel apps like TripAdvisor? ,11. What digital features do you think were missing or could be improved?,12. Do you use mobile apps for travel planning or navigation? ,"17. If yes, list up to 3 travel apps you use most often.",13. Would you use an app that provides personalized eco-cultural trip suggestions? ,14. How much do you trust AI-based systems for travel planning? ,15. What languages would you prefer your travel app to support? ,21. What accessibility or comfort issues did you face during your travel experience? ,16. Did you face any language or communication barriers? ,23. Was it difficult to find local guides or cultural events? ,17. Was eco-friendly transport or accommodation hard to find? ,18. Were destinations accessible to people with physical or mobility challenges? ,26. What would have made the trip easier or more enjoyable?,19. How important is sustainability in your decision-making when choosing destinations or activities? ,20. Did you engage with local artisans or vendors during your trip? ,"29. If not, what prevented you from engaging with local vendors? ",21. How useful would an AI assistant be for recommending places based on your mood or interests? ,31. How useful would real-time alerts for nearby cultural events be to you? ,22. Would a personalized itinerary planner be helpful during your trip? ,23. How likely are you to recommend such an AI-powered app to others?,24. Do you have any specific suggestions for improving eco/cultural tourism in Sri Lanka?
21/11/2025 12:46:42,18–25,Srilanka ,,Adventure,,,Always,Yes,,"Resorts, Budget hotels",5,Pricing,Agree,,Budget planner,Yes,,Maybe,5,English,,No,,Maybe,Not Sure,,4,Yes,,5,,5,5,Nope
21/11/2025 12:48:57,18–25,Indian ,,Adventure,,,Always,Maybe,,"Resorts, Budget hotels",5,Communication,Agree,,Eco-friendly transport info,Yes,,Maybe,5,English,,Maybe,,Maybe,Not Sure,,4,No,,5,,5,5,Nope
21/11/2025 12:51:55,60+,French,,Eco,,,Never,Yes,A good planned trip,Eco-Certified Accomodations,1,Access,Neutral,,Eco-friendly transport info,No,,No,3,English,,No,,Yes,No,,3,Yes,,2,,3,4,No
21/11/2025 12:53:04,60+,Malaysian,,Adventure,,,Never,No,Safety,Local food spots,1,Access,Strongly agree,,Emergency support access,No,,No,4,Spanish,,No,,No,No,,2,Yes,,2,,2,4,No
21/11/2025 13:11:06,36–45,Jordan,,Beach,,,Rarely,Yes,Safety,Local food spots,1,Safety,Disagree,,Local guide suggestions,Yes,,Yes,3,Tamil,,Yes,,Yes,Yes,,1,No,,3,,4,5,no no
21/11/2025 13:11:08,26–35,Australian,,Adventure,,,Always,Maybe,Green environment ,Transportation Options,4,Communication,Strongly agree,,Real-time translation,Yes,,Yes,3,English,,Yes,,Maybe,Yes,,3,Yes,,3,,3,3,No
21/11/2025 13:11:57,26–35,Sri Lankan ,,"Adventure, Beach",,,Often,Yes,Good ,"Event Schedules, Medical services",5,Pricing,Neutral,,"Real-time translation, Offline maps, Live cultural alerts, Emergency support access",Yes,,Yes,3,English,,Yes,,Yes,Yes,,3,Yes,,5,,3,3,No
21/11/2025 13:13:44,18–25,India,,Eco,,,Often,No,,Eco-Certified Accomodations,2,Access,Disagree,,Eco-friendly transport info,Maybe,,Yes,5,Tamil,,No,,No,Yes,,4,No,,3,,3,3,
21/11/2025 13:35:43,18–25,seilanka,,Adventure,,,Always,Yes,good,Event Schedules,3,Navigation,Agree,,"Real-time translation, ",Maybe,,Maybe,4,Tamil,,No,,Yes,Yes,,4,Yes,,5,,4,3,
21/11/2025 14:09:52,26–35,Sri Lankan ,,Beach,,,Rarely,Yes,I'm an Sri Lankan ,Local food spots,4,Pricing,Neutral,,Budget planner,Yes,,No,5,English,,No,,Yes,No,,1,No,,4,,4,4,Location name board should be written in English 
21/11/2025 14:27:34,18–25,Poland,,"Eco, Adventure, Beach",,,Always,Yes,Less expensive,"Event Schedules, Local food spots",2,Communication,Strongly agree,,Real-time translation,Yes,,No,1,English,,Maybe,,No,No,,1,Yes,,1,,1,3,SOS quick support for women
21/11/2025 14:32:06,18–25,Srilanka ,,"Adventure, Beach, Culture",,,Sometimes,Yes,Im already in it 😂,"Transportation Options, Local food spots, Medical services",3,Access,Agree,,"Offline maps, Local guide suggestions",Yes,,No,2,English,,Maybe,,Yes,Yes,,3,Yes,,2,,2,2,.
21/11/2025 16:15:49,18–25,Canadian ,,"Adventure, Culture",,,Often,Yes,"Pretty good coz, I've seen most have seen most of the places through social media.","Local food spots, Resorts, Budget hotels, Cultural performances",5,Pricing,Agree,,"Live cultural alerts, Emergency support access",Yes,,Yes,4,English,,No,,Yes,Yes,,4,Yes,,4,,4,4,Pretty much good ! It would be better if a I based App could suggest us places according to our search.
21/11/2025 18:38:57,18–25,africa,,Adventure,,,Rarely,Yes,safety,Transportation Options,1,Safety,Neutral,,Real-time translation,Yes,,No,5,Spanish,,Yes,,No,No,,2,Yes,,1,,5,1,very good so don want to improve
21/11/2025 18:39:58,26–35,denmark,,Culture,,,Always,Maybe,rooms,Cultural performances,1,Safety,Disagree,,Local guide suggestions,No,,Maybe,5,German,,No,,Maybe,Not Sure,,1,Yes,,2,,5,5,yes
21/11/2025 18:41:04,18–25,indian,,Beach,,,Often,Yes,tour guide,Nature trails,0,Access,Neutral,,Live cultural alerts,Yes,,No,5,Tamil,,Maybe,,No,No,,1,Yes,,2,,3,3,no
21/11/2025 18:42:07,36–45,canadian,,Beach,,,Rarely,Yes,guidance,Event Schedules,2,Navigation,Disagree,,Local guide suggestions,Yes,,Yes,3,Tamil,,Yes,,Yes,Yes,,2,Yes,,2,,2,5,ekenma
21/11/2025 18:44:01,26–35,german,,Beach,,,Sometimes,Yes,safety,Nature trails,1,Access,Strongly Disagree,,"Budget planner, ",Yes,,No,3,Tamil,,No,,No,No,,1,Yes,,2,,5,2,no no 
21/11/2025 19:12:45,18–25,Australia ,,"Eco, Adventure, Culture",,,Rarely,Yes,Ella,"Transportation Options, Eco-Certified Accomodations, Nature trails",3,Access,Strongly agree,,"Offline maps, Live cultural alerts, Budget planner",Yes,,Maybe,5,English,,Maybe,,Maybe,Yes,,1,Yes,,1,,5,1,
21/11/2025 19:30:47,18–25,Sinhala,,Adventure,,,Never,Maybe,,Transportation Options,5,Access,Strongly agree,,Real-time translation,Maybe,,Maybe,5,English,,Maybe,,Maybe,Yes,,5,Yes,,5,,5,5,
21/11/2025 19:33:36,18–25,Australia,,"Eco, Adventure, Beach",,,Sometimes,Maybe,Freedom,"Transportation Options, Event Schedules, Resorts, Budget hotels",4,Pricing,Neutral,,"Real-time translation, Emergency support access, Budget planner",Yes,,No,3,English,,Maybe,,Maybe,Not Sure,,3,Yes,,3,,3,3,No
21/11/2025 19:44:02,18–25,Sri Lankan ,,Adventure,,,Often,No,May be culture based tourism ,Event Schedules,4,Communication,Agree,,Budget planner,Maybe,,Maybe,4,English,,Yes,,Yes,Yes,,4,Yes,,4,,4,4,"Promote community-based tourism that highlights local culture, food, and traditions while ensuring benefits go directly to villagers."
21/11/2025 19:53:21,18–25,Sri Lankan ,,Beach,,,Often,Yes,Nothing ,"Event Schedules, Eco-Certified Accomodations, Cultural performances",3,Communication,Agree,,"Offline maps, Budget planner",Yes,,Maybe,3,English,,Yes,,Yes,Yes,,3,Yes,,4,,3,3,Nothing 
21/11/2025 20:04:35,18–25,Sri Lanka ,,"Eco, Beach, Culture",,,Rarely,Yes,"Thailand, Singapore ","Eco-Certified Accomodations, Nature trails",4,Safety,Neutral,,"Offline maps, Emergency support access",Yes,,Yes,4,Tamil,,No,,Yes,No,,5,Yes,,3,,3,3,Sri Lanka is a good tourist county in south asia 
21/11/2025 21:33:59,36–45,India,,"Eco, Adventure, Beach, Culture",,,Sometimes,Yes,Exploring Culture and Heritage,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Local food spots, Nature trails",4,Safety,Strongly agree,,"Real-time translation, Offline maps, Local guide suggestions, Eco-friendly transport info, Emergency support access",Yes,,Yes,4,English,,Yes,,Yes,Yes,,4,Yes,,4,,4,3,I suggest to develop a fully functional application to access everything clearly
21/11/2025 21:36:11,46–60,Japan,,"Adventure, Beach",,,Often,Yes,Explore Food and culture,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Resorts, Budget hotels",4,Safety,Agree,,"Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access",Yes,,Yes,4,English,,Yes,,Yes,Not Sure,,4,Yes,,4,,3,5,I want to suggest to develop to explore all the local and international events to participate and get expirience
21/11/2025 21:37:06,26–35,Japen ,,Beach,,,Never,Yes,Excited ,Eco-Certified Accomodations,3,Access,Neutral,,Eco-friendly transport info,No,,Yes,3,Tamil,,Yes,,No,Yes,,3,Yes,,3,,4,3,Make AI suggestions 
21/11/2025 21:38:41,36–45,Sri Lanka,,"Eco, Adventure, Beach, Culture",,,Always,Yes,i want to explore ecological expirience ,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Local food spots, Nature trails, Resorts, Budget hotels",4,Safety,Agree,,"Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts",Yes,,Yes,5,English,,Yes,,Yes,Yes,,4,Yes,,3,,4,5,NA
21/11/2025 21:39:18,18–25,Russia ,,Eco,,,Rarely,Yes,Cultural based environment ,Event Schedules,3,Safety,Agree,,Offline maps,No,,Yes,3,English,,Yes,,No,Yes,,3,Yes,,2,,3,3,Need Ai feature 
