place_name,District,Timespan,Review,category,eco_score,cultural_score,vendor_count,local_empowerment_index,accessibility_score,crowd_level,danger_level,latitude,longitude
dehiwala zoological gardens,colombo,3 months ago,good place small children fewer animals park children visit play pay limited amount,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,looking fun educational day child national zoological destination place located bus route parking available zoos,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,really great location perfect maintenance variety animal observed,,,,,,,,,,
dehiwala zoological gardens,colombo,11 months ago,facilities improved compared previous visit several years ago however less number animals zoo compared several years back animals space cages also play area also improved significantly,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,safe good place visit especially children used love going however doesn't like much feel bad caged animals saw white monkey particular looked,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,first time visit animal party road rare animals nice place,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,early visits doesn't recommended animals inside cells released public hours time since opened zoo needs serious improvements standards developed play area,,,,,,,,,,
dehiwala zoological gardens,colombo,11 months ago,lot zoo entertaining also educating staff friendly guided tour,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,great place visit whole family ready walk wear comfortable canteens seating areas washrooms drinking water taps widely available along,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,nice place visit family nice view animals must watch,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,great place see many beautiful animal best place day,,,,,,,,,,
dehiwala zoological gardens,colombo,11 months ago,tickets adults fast u cover whole zoo hour stalls average beverages u worry living condition animals doesn't go u depressed,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,restructuring cages giving space animals enough time satisfying lot zoo entertaining also educating staff friendly guided tour highly recommend family visit,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,great zoo awesome animals also lot birds fishes shows,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,proper guidance staff lot learn behavioral pattern animals ex sit conservation,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,recently visited zoo time exploring animal exhibits zoo well laid easy navigate plenty informative signage helpful staff available answer questions,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,way zoo treats animals child dilapidated condition,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,went zoo several years well organized follow number order wont miss,,,,,,,,,,
dehiwala zoological gardens,colombo,3 weeks ago,go get good memory life,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,group,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,ocean exhibit local zoo captivating experience aquarium diverse range marine simulated waves create atmosphere educational aspect informative downside,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,animals birds develop like seashell playing area swimming pool otherwise advertise entrance fish spa,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,experience place full wild animals designed simulate nature exceptional experience entrance ticket tourists rupees ticket feed elephant giraffe rupees,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,visited place memories childhood visit years development compared past must say,,,,,,,,,,
dehiwala zoological gardens,colombo,a week ago,good zoo heaps different animals collection destroys dockland zoo bits bore feast comparison lots see lions black panther jaguar leopard giraffe much also wide range snakes doesn't forget elephants little cub highlight,,,,,,,,,,
dehiwala zoological gardens,colombo,9 months ago,doesn't zoo years doesn't comfortable idea animals caged wanted see like good two hours around zoo saw many animals birds apart ethical,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,zoological lots different kinds animals birds origin many animals rather numbers category,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,cool staff crowded use animals cages empty big deal multiple restaurants available zoo gift shop cool well items less expensive,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,beautiful place variety wild animals natural visit family support living animals,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,overall good place visit entry fees reasonable toilet facilities provided free charge road facilities visit animals good whole done foot play area,,,,,,,,,,
dehiwala zoological gardens,colombo,5 months ago,beautiful less animals see new upcoming projects like entertaining next crown cranes,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,visited nth march seems like animals doesn't get food properly weak,,,,,,,,,,
dehiwala zoological gardens,colombo,5 months ago,national zoological exceptional destination nature animal lovers spread area zoo offers diverse range,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,great experience children done updates several areas given space animals nice place go visit family,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,much better past many animals also old visit lot locals tourists,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,good experience elephant show best  one,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,see animals birds isothere small children park activity charge activity vehicle people use roads parking ticket children food stalls zoo,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,good place spend time tickets prices adults much animals like past improve quality service,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,animal cages cleaned animals muddy water drink fish tanks cleaned people need learn throw garbage respective places without throwing cages animals also lots,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,lot safe clean,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,really good place quality time family remember lot animals satisfied living condition animals place nice well maintained,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,star zoo like years ago day  animals getting reducing single activity happened sundae visited recently old zoo,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,arrangements fine need move circle visit animals greenery inside zoo makes walking easy,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,zoo experience zoos beautiful landscapes made visit start amazed diverse range animals housed exotic local wildlife,,,,,,,,,,
dehiwala zoological gardens,colombo,a day ago,best zoological sri lanka,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,national zoo sri lanka good place visit loved local visitors ticket price adults age nearly cage numbers visit actual number differ due cages,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,national zoo collection exotic one oldest zoos aria zoo sri lanka widely known colombo zoo world,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,zoo many incredible collection animals world efforts made increase home space animals time  renovations highly appreciated,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,well maintained zoological also known zoo popular zoological located sri lanka officially called national,,,,,,,,,,
dehiwala zoological gardens,colombo,9 months ago,good spend vacation perfect travel children animals could doesn't get eye sight normal,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,see may types animals zoo also clean nice day family entertainment events zoo specially place good children get idea different animals many people feeding animals doesn't think good health,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,good zoo could maintained bit better otherwise view good get good long walk well visit inside bird cage close view turtles lions bear et visual treats get,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,well place like used doesn't many animals several cages empty must due bovid something visited remember might case visit however,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,zoo one oldest zoological aria home collection birds fish birds,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,nice place ever types animal category big place observe whole zoo need day doesn't worry food many canteens hotel washrooms also available,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,great best experience peoples learning knowledge animals,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,good experience relaxed outing us national zoo several kinds elephant show everyday around also little play area well management introduced mechanism helps roam around area,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,best place relax good time family animals well staff large scale restaurant place meals also small outlets serve visitors,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,almost cages dens et empty animals mostly sick old weak lot units butterfly also closed,,,,,,,,,,
dehiwala zoological gardens,colombo,6 months ago,areas going renovations maintenance definitely need improve although reception says when available ticketing counter came know wheel zoo staff seems,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,adult best place visit family best friends couples also private vehicle park front zoo charge parking recommended,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,nice zoo big area lots different animals birds fishes funny beg one opening mouth without break showing eat elephants panther comes window,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,see type many animals live,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,attractions available due maintenance experience good water ponds seemed dirty cage needs another layer fence increase distance visitors,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,parrots feeding time rather almost always comes say hi visitors lots flowers lotus bloom soon,,,,,,,,,,
dehiwala zoological gardens,colombo,3 weeks ago,one best places relaxed,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,need improvements animals getting old management zoo must changed managing properly,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,place beautiful time went weekday us,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,zoological one good attractions colombo locals course many visit place,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,love place best place spend free time children yeah go visit even u know animals history visit also doesn't forget watch sea show,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,aquarium done nicely inside aquarium calm zoo crowded holidays visit zoo day time weekday holiday limited space animals zoo open usually,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,zoos india zoological quite visit along estranged husband beautiful animals one see picture giant bear turned classmate,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,really  best place love everyone visit kind animals  dance sports stopped corona issues join zoo look place warmly invite everyone visit,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,national zoological sri lanka also called zoo colombo zoo zoological sri lanka founded home birds reptiles fish amphibians zoo,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,good place visit locals adults evening time visits animals get cages animal shows time table check back ticket days special shows special cubs show,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,like past days animals less numbers get see one animals shifted animals zoos,,,,,,,,,,
dehiwala zoological gardens,colombo,5 months ago,good place spend time family,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,changes everyday visitor doesn't notice much improvement many animals service poor reptile section closed doesn't seem proper park,,,,,,,,,,
dehiwala zoological gardens,colombo,9 months ago,closed zoo animals birds opens days throughout year seal show time shows available afternoon need book,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,really good zoo experience especially quite liked animals easily visible without much obstruction yet adhering safety well animals looked healthy well entry,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,crowded days best way go early morning complete whole experience due ample parking available breathe place kept clean exhibits,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,good place day family lot place stay freely animals watch,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,good experience family crowed day staff try best keep clean could doesn't see big development zoo visited childhood,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,sri lanka national zoological place studying animals entertainment,,,,,,,,,,
dehiwala zoological gardens,colombo,9 months ago,actually l like trap wild animals cages humans also need freedom,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,visited morning per adult entire numbered would doesn't miss places covered many types animals sleeping doesn't know doped,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,nice place better bring water bag nice child park activities tickets lunch available upgraded better level,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,nice lovely place visit doesn't need travel far make sure early morning heat layout follow arrows numbered two,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,need time best place zoo big animal lover true caged get chance see lovely animal,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,really good experience many animals zoo good improve,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,good place visit many animals threat extinction protected hereby saw animals brown bear leopard bored since alone cages visitors try,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,best place everyone see many variety animals birds et,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,kind peoples watching animals inside cage safety hygiene place statute cleaning administration staff maintain safe clean zoo,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,good place smell good,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,good place take see wild animals,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,place visit children day,,,,,,,,,,
dehiwala zoological gardens,colombo,9 months ago,loved place fun place explore adults alike,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,good experience everyone located middle colombo easily reach vehicle spread wide perfect animals see cages well located,,,,,,,,,,
dehiwala zoological gardens,colombo,3 weeks ago,recently visited zoological sri lanka incredible experience place true wildlife anyone traveling colombo nearby areas,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,many years family visited zoo name call childhood far better lots new things improvements love way macaw parrots,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,best place go vacation many animals,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,zoological lot work far conservation education research animals concerned one parking available visit zoo,,,,,,,,,,
dehiwala zoological gardens,colombo,8 months ago,national zoological sri lanka also called zoo colombo zoo zoological sri lanka founded home birds reptiles fish amphibians,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,decided pay visit zoo days ago many years managed capture pictures creatures many caged confined areas opposed natural,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,recently pleasure visiting zoological sri lanka experience variety animals attention impressive elephants colorful birds,,,,,,,,,,
dehiwala zoological gardens,colombo,4 weeks ago,sorry animals maintenance poor,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,love selection plants wish signage regarding plants last time years also much changed good improvements animals cages need upgrading worth going slugged extra visit,,,,,,,,,,
dehiwala zoological gardens,colombo,4 weeks ago,place lot varieties animals buy food restaurant food stalls around zoo highly recommend,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,lot got information animals teach show,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,zoo middle city many animals zoo visited many zoo countries rate zoo red place visited time place overtime getting better service offer buggy service,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,lovely place personally happy way animals confined space provided,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,good animals missing feeding elephant dance okay get early u get seats crowded though,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,used buggy service small cart carry people get around quickly service hours foreigners charged rupees entrance fee entrance fee rupees,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,visited last day sri lanka last week lot said country state zoos zoo well maintained plenty staff room animals roam,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,beautiful place fun family kids thoroughly see wild animals different variety animals fish birds kept sight,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,conditions elephants could improved greatly stop treating animals cruelly zoo keeper scaring elephants sharp needle like pole either give animals freedom shut zoo transfer,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,one best tourist attractive place sri lanka local public budget place visit,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,crowded place bring children see lots vary animal one place,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,best facilities animals majority seemed healthy,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,zoo colombo sri lanka mixed bag emotions animal alike offers world exotic creatures impossible ignore ethical concerns surround,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,good maintenance poor condition must pay good attention food play items reasonable price buy water bottle controlled price however,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,best place spend day family lots animals birds reptiles several animal shows available starting sea elephant bird shows informatory facts also shared kids play area also available spend time renovations going,,,,,,,,,,
dehiwala zoological gardens,colombo,5 months ago,safe plenty animals watch,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,oldest national zoo sri lanka houses wide variety local animals  vary,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,wild animal spices need one whole day numbers arrows point right directions numbers kind confusing clean need improve,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,visited place long time think years place improved restaurants wash rooms clean also would recommend suggest people visit place keep place clean home,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,went many years used love place child number attractions much less used many animals missing leopards jaguars one black jaguar baboons,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,really place lack animals ticket prices reasonable several canteens foods really,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,zoological great place ages especially days worth adventure learning go hot colombo sri lanka doesn't visit zoological missing,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,ticket counter staffs need typical government staffs cant make sum tickets need assist long quest number animals new line ups,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,crowd nice place take spend time many places ice creams available also nice restaurant lunch new also good informative,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,zoological colombo sri lanka nature families seeking day recent visit august pleasantly surprised variety animal,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,well maintained zoo must visit place colombo collection animals birds fishes much reasonable price,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,good place take animals well ticket prices reasonable directional guidance boards signs needs attention visitors tends miss animals due unclear directions,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,many animals kind sad see small tanks cages,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,zoo stands splendid attraction sri lanka experience visitors beauty charm people providing avenue worth noting however zoo tends get crowded,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,zoo located colombo sri lanka popular attraction offers visitors chance get close personal diverse array wildlife place see variety animals,,,,,,,,,,
dehiwala zoological gardens,colombo,a year ago,nice place nice place picnic need maintain good attract locals,,,,,,,,,,
dehiwala zoological gardens,colombo,7 months ago,great place teach children wildlife much,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,educate grow better visits zoo show tortured animals sticks privacy poked tricks natural instinct impress volumes upbringing,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,zoo captivating exploration wildlife diversity nestled within vibrant city colombo sri lanka zoo offers,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,good place visit family many modernized undertake zoo establishing new aquarium however animals transferred zoo therefore less animals zoo management need take animals health cleaners cages,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,went sturdy crowded holidays go easy take food home good son,,,,,,,,,,
dehiwala zoological gardens,colombo,3 years ago,national zoological march ticket prices follows local,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,went long time lot modernization sea play elephant must corona lots places build washroom kept clean slight lack animals,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,national zoo collection exotic one oldest zoos aria national zoological sri lanka zoological sri lanka founded,,,,,,,,,,
dehiwala zoological gardens,colombo,5 years ago,place visit see many varieties animals watch aquarium many kind fish reptiles birds show time seal fish elephants free charge much knowledge animals,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,national zoological highly widely places visit colombo zoo prepare houses around animals see activities conservation,,,,,,,,,,
dehiwala zoological gardens,colombo,4 months ago,worst zoo ever visited charged rupees visitor fees sri lanka nationals pay rupees see price difference clear sign positing disgusting cancelled sea show,,,,,,,,,,
dehiwala zoological gardens,colombo,3 months ago,nice place visit around colombo reasonable fare locals,,,,,,,,,,
dehiwala zoological gardens,colombo,4 years ago,zoo place visit children great variety animals shows like bird show sea show elephant dance show also play area get time parents rest overall nice place highly recommended,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,great place take spend day locals entry,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,visited recently quit old overall good lot animals need maintains good place visit family,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,went zoo meet friend honestly place closed maintenance place bad animals  diseases skin due,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,good place visit buddies children local adults ticket price cover within hours,,,,,,,,,,
dehiwala zoological gardens,colombo,2 months ago,zoological one popular largest zoo sri lanka within main city colombo home types animals birds reptiles amphibians fishes takes,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,nice place see animals sad animals,,,,,,,,,,
dehiwala zoological gardens,colombo,2 years ago,national zoo place collection exotic one oldest zoos aria zoo sri lanka widely known colombo zoo world,,,,,,,,,,
dehiwala zoological gardens,colombo,a month ago,two light green sarees entrance zoo harassing us told director zoo previously donated money got membership card today also made big fuss please look matter take action authorities zoo KS,,,,,,,,,,
dehiwala zoological gardens,colombo,10 months ago,happy great atmosphere clean get experience mini wild,,,,,,,,,,
diyatha uyana,colombo,3 months ago,good place spend friends family tracks available trainers good parking facility public facility plenty things buy like plants handmade items fish kind food court u find mostly sri lanka food hopefully relax spend,,,,,,,,,,
diyatha uyana,colombo,4 months ago,buy beautiful flower plants cactus succulent varieties fish reasonable park calm places spend timeshare restaurant alike train station take boat ride go,,,,,,,,,,
diyatha uyana,colombo,5 months ago,super place much busy weekdays parking available food court stalls open activity area walk along road left hand side waters edge,,,,,,,,,,
diyatha uyana,colombo,2 months ago,located sri motte sri lanka captivating recreational park blends nature culture spanning across acres park offers escape urban life honoring,,,,,,,,,,
diyatha uyana,colombo,5 months ago,one best pleasing spend time colombo plenty plant sellers sell plants plant seeds vases lot collection plant available purchase also,,,,,,,,,,
diyatha uyana,colombo,4 months ago,beautiful  place best place free food things available slightly go also go small boat ride go boat food train,,,,,,,,,,
diyatha uyana,colombo,5 months ago,natural walking park hidden gem heart city lush greenery lake walking trails create oasis park offers perfect blend nature recreation,,,,,,,,,,
diyatha uyana,colombo,4 months ago,park offers atmosphere evening views play area aquarium boating place lovely lake view food court needs improvement around outlets recommended,,,,,,,,,,
diyatha uyana,colombo,4 months ago,visited reviewed tune beautiful location located sri lanka parliament liked fish tank showcasing different,,,,,,,,,,
diyatha uyana,colombo,3 months ago,best place colombo relax mind track playing areas also available kind food court find mostly sri lanka food,,,,,,,,,,
diyatha uyana,colombo,5 months ago,visited place pass time get passport area boasts several shops selling plant impressive selection beautiful plants come equipment,,,,,,,,,,
diyatha uyana,colombo,3 months ago,good place hangout friends family loved walking path daily fitness activities free entrance park parking area available take boat rides,,,,,,,,,,
diyatha uyana,colombo,6 months ago,nice place chill relax parking available plenty also food courts available walk boat pay separate playing area children highly recommend visit evenings,,,,,,,,,,
diyatha uyana,colombo,a month ago,best place buy good quality house plants reasonable price wide range selections lot,,,,,,,,,,
diyatha uyana,colombo,4 months ago,love place good type peoples visit doesn't worry class,,,,,,,,,,
diyatha uyana,colombo,6 months ago,nice place spend time family friends big plant market big fish tank food court eating area walking path play area,,,,,,,,,,
diyatha uyana,colombo,7 months ago,great place spend time much busy weekdays parking available rupees per person wash rooms variety foods available buy food court prices reasonable cheese recommended beware crows meal,,,,,,,,,,
diyatha uyana,colombo,2 months ago,visited place last week cool place spend evening near lake also different types foods sweets team may dinner together surround breeze climate,,,,,,,,,,
diyatha uyana,colombo,4 months ago,nice relaxing area flower exhibition fridges sundaes good collection flowers accessories,,,,,,,,,,
diyatha uyana,colombo,2 weeks ago,great place walk kiddies better place photos ideography lovely views,,,,,,,,,,
diyatha uyana,colombo,8 months ago,think best available park colombo super ad art experience walkway total full package play area nature lake food court plant shop great place spend evening less,,,,,,,,,,
diyatha uyana,colombo,9 months ago,nice place boating place good lake side food allowed many shops outer area variety foods eating place also lot plant shops ships fish shops,,,,,,,,,,
diyatha uyana,colombo,4 months ago,great place hangout friends cleaned boat ride experience highly recommend anyone,,,,,,,,,,
diyatha uyana,colombo,5 months ago,nice place hangout calm also grab food,,,,,,,,,,
diyatha uyana,colombo,a month ago,recently visited location place relaxation atmosphere perfect getaway sets apart wide variety plants buy whether seasoned,,,,,,,,,,
diyatha uyana,colombo,9 months ago,great place spend eve loved doesn't recommend lakeside forecourt good also bought plants foliage collection cactus,,,,,,,,,,
diyatha uyana,colombo,8 months ago,great place relaxing walk shady mangrove trees cool breeze lake lots entertainment activities available around,,,,,,,,,,
diyatha uyana,colombo,6 months ago,beautiful place located crowded urban also held car meet suitable place activities also food court eating,,,,,,,,,,
diyatha uyana,colombo,a year ago,good place walk around time bit crowded area well maintained lot food outlets dining area available car parking available almost full park roads,,,,,,,,,,
diyatha uyana,colombo,4 weeks ago,best place requirements spending time,,,,,,,,,,
diyatha uyana,colombo,6 months ago,one well maintained parks around colombo plenty stoles get food however doesn't allow take food drinks inside park also take permission bringing door,,,,,,,,,,
diyatha uyana,colombo,7 months ago,good place morning jog walk food mediocre surroundings pretty good calm away hustle bustle city,,,,,,,,,,
diyatha uyana,colombo,a year ago,great place spend time nice places visit children boat service available food corner apart flowers also available fridge crowded people due reason parking difficult,,,,,,,,,,
diyatha uyana,colombo,6 months ago,nice area observe natures beauty pita motte town parking available lovely park,,,,,,,,,,
diyatha uyana,colombo,a year ago,rest spend time busy streets come place really well maintained come park family little amusement park doesn't charge,,,,,,,,,,
diyatha uyana,colombo,a month ago,nice place spend,,,,,,,,,,
diyatha uyana,colombo,a year ago,everything perfect place clean site well maintained staff friendly could relax playing though allowing toys take inside park entrance fee,,,,,,,,,,
diyatha uyana,colombo,6 months ago,good place walk small meals drinks et play area near lake good family friends lovers well,,,,,,,,,,
diyatha uyana,colombo,3 months ago,peaceful relaxing food great plants sold affordable,,,,,,,,,,
diyatha uyana,colombo,2 weeks ago,place people spend time food courts good tasty clean neat place fresh water aquarium also good variety lot first sight family,,,,,,,,,,
diyatha uyana,colombo,a year ago,tickets needed entrance one beautiful calm place around food stalls juice bar ice cream parlor keep eye raven dishes,,,,,,,,,,
diyatha uyana,colombo,2 months ago,serene amidst urban charm nestled heart sri lanka urban sanctuary blends natures modern,,,,,,,,,,
diyatha uyana,colombo,4 months ago,best place colombo spend time loved,,,,,,,,,,
diyatha uyana,colombo,8 months ago,place spend pleasure time family pleasing walk along pathways parking power hour reasonable rate,,,,,,,,,,
diyatha uyana,colombo,2 months ago,restaurant hot sunny day time wish roofs table breeze soothing also comfortable time food beverages somewhat expensive place anyone peaceful time alone beloveds,,,,,,,,,,
diyatha uyana,colombo,3 months ago,nice place walk take safe place since lonely place good restaurant side waters edge management,,,,,,,,,,
diyatha uyana,colombo,3 years ago,great place adults alike specially nature lovers would doesn't believe much wildlife exists heart busy,,,,,,,,,,
diyatha uyana,colombo,2 months ago,good selection plants types categories related nice relaxed atmosphere available visited rather early sturdy much crowd overall nice experience,,,,,,,,,,
diyatha uyana,colombo,a year ago,food court stalls open activity area walk along road left hand side waters edge entrance reach bags checked make sure foods toys,,,,,,,,,,
diyatha uyana,colombo,2 months ago,recently pleasure visiting park friends let tell incredible experience,,,,,,,,,,
diyatha uyana,colombo,a month ago,good place hangout family pop market units selling plants affordable rate clothing items accessories food outlets seating overall good place visit occasionally,,,,,,,,,,
diyatha uyana,colombo,a year ago,park different trees park good looking clean absolutely green therapy eyes city colombo nice experience walk park evening best place hangout friends family,,,,,,,,,,
diyatha uyana,colombo,7 months ago,expansive park located sri lanka visitors peaceful escape hustle bustle city park perfect destination seeking unwind,,,,,,,,,,
diyatha uyana,colombo,4 months ago,great place solo foods bit expensive super great place families also lovers,,,,,,,,,,
diyatha uyana,colombo,4 weeks ago,park built along banks opened opening ceremony attended minister economic development secretary defense urban development,,,,,,,,,,
diyatha uyana,colombo,6 months ago,one relaxing places town lots activities fun games food much,,,,,,,,,,
diyatha uyana,colombo,a year ago,cool place spend evening near lake also different types foods sweets team may dinner together surround breeze climate wind dinner boat service may,,,,,,,,,,
diyatha uyana,colombo,6 months ago,place relax buy many things people lots plants inside reasonable price,,,,,,,,,,
diyatha uyana,colombo,8 months ago,good place spend time family friends form security personal others many restaurants meals play area path area boat rides also available good location photo shoots,,,,,,,,,,
diyatha uyana,colombo,2 years ago,kind nice place spend time fully crowded evenings well arranged car park well food court tables buy like flower pots clothes et,,,,,,,,,,
diyatha uyana,colombo,2 months ago,great place spend time friends family tracks available anyone interested parking facility public facility available shops buy plants handmade items fish aquarium items et,,,,,,,,,,
diyatha uyana,colombo,3 months ago,come flower market buy flowers plants variety even plant products like compost buy pots separately best part prices really,,,,,,,,,,
diyatha uyana,colombo,3 years ago,attractive place visit spend time friends family loved place quite lot attractions aquarium water fountain walkway lake play area footstalls small shops,,,,,,,,,,
diyatha uyana,colombo,5 months ago,nice place visit family friend spend quality time,,,,,,,,,,
diyatha uyana,colombo,2 months ago,beautiful good place studying also places eat,,,,,,,,,,
